creator_id,channel_category,channel_name,subscribers
1,게임,로빈,438000
2,게임,괴물쥐 유튜브,1160000
3,스포츠,김종국 GYMJONGKOOK,3080000
4,스포츠,슛포러브,165000
5,뉴스/정치,빨간아재,702000
6,뉴스/정치,용혜인,333000
7,과학기술,코딩애플,320000
8,인물/블로그,루아 LuaDoll,3060000
9,엔터테인먼트,DJ SODA OFFICIAL,1820000
10,엔터테인먼트,자이언트 펭 TV,1760000
11,노하우/스타일,백종원 PAIK JONG WON,6660000
12,노하우/스타일,tzuyang쯔양,1100000
13,엔터테인먼트,보겸 TV,1310000
14,영화/애니메이션,GH'S,2330000
15,자동차/교통,전설입장권,1250000
16,뉴스/정치,슈카월드,3430000
17,엔터테인먼트,차린건 쥐뿔도 없지만,3950000
18,애완동물/동물,강형욱의 보듬 TV,2110000
19,과학기술,안될과학 Unrealscience ,1220000
20,여행/이벤트,계곡은개골개골,431000
21,여행/이벤트,미니멀유목민,282000
22,음악,BLACKPINK,"95,100,000"
23,애완동물/동물,[THE SOY]루퐁이네,227000
24,인물/블로그,승비니 Seungbini,2550000
25,비영리/사회운동,EBSDocumentary(EBS 다큐),4450000
