,beauty,car_auto,celeb,economy,education,entertainment,food_cooking,game,government,hobbies,kids,life_style,movie,music,news,pet,sports_health,tech,travel
beauty,0.04851778174961944,0.05288438199140978,0.052932900016077755,0.05283586425593032,0.052932900016077755,0.05278734652045087,0.05283586425593032,0.052932900016077755,0.05254475755386507,0.05283586425593032,0.05298141775155721,0.05273882878497141,0.052932900016077755,0.05278734652045087,0.052932900016077755,0.05298141775155721,0.05278734652045087,0.052932900016077755,0.05288438199140978
car_auto,0.05288438202199689,0.048517781777681006,0.05298141778220044,0.05269031107996682,0.052787346550981856,0.05269031107996682,0.053126970988723,0.05288438202199689,0.052593275319763266,0.05273882881547434,0.052787346550981856,0.05317548872423052,0.05288438202199689,0.0526417933444593,0.05288438202199689,0.05293290004669293,0.05302993551770796,0.05293290004669293,0.05283586428648937
celeb,0.05289184087737954,0.052940320978487374,0.04848014734210384,0.05279488038619968,0.05289184087737954,0.05269792018398401,0.05279488038619968,0.052940320978487374,0.05260095998176835,0.05289184087737954,0.05298880107959521,0.052746400285091845,0.05298880107959521,0.05284336048730751,0.05289184087737954,0.05298880107959521,0.05279488038619968,0.052940320978487374,0.05289184087737954
economy,0.05293345641297009,0.0527876343578703,0.05293345641297009,0.048607398055558804,0.05307927875779256,0.05288484906127017,0.0527876343578703,0.05283624170957023,0.05288484906127017,0.05288484906127017,0.05288484906127017,0.05264181201304784,0.05283624170957023,0.05269041936474777,0.05288484906127017,0.0527876343578703,0.0527876343578703,0.05293345641297009,0.05293345641297009
education,0.052925196584013574,0.05277966427108148,0.052925196584013574,0.052973707258608796,0.04851072085865183,0.05287668562027193,0.05273115359648625,0.052925196584013574,0.05273115359648625,0.052925196584013574,0.052973707258608796,0.05253711060895893,0.05287668562027193,0.05287668562027193,0.05287668562027193,0.05287668562027193,0.05273115359648625,0.052925196584013574,0.053022217933204024
entertainment,0.05291314073598478,0.0528158740258795,0.05286450738093214,0.05291314073598478,0.053010407446090056,0.04863340143306525,0.05286450738093214,0.0528158740258795,0.05266997367084392,0.05296177409103742,0.05291314073598478,0.05266997367084392,0.05291314073598478,0.05276724067082686,0.05291314073598478,0.052718607025896556,0.0528158740258795,0.05286450738093214,0.05296177409103742
food_cooking,0.052892321091865285,0.05318373885089061,0.052892321091865285,0.05274661235710138,0.05279518193535601,0.05279518193535601,0.048569624574237545,0.05284375151361065,0.052552333754585324,0.05279518193535601,0.05279518193535601,0.05313516927263597,0.05284375151361065,0.052552333754585324,0.052892321091865285,0.05279518193535601,0.05318373885089061,0.052892321091865285,0.05284375151361065
game,0.052938036898728946,0.052889514165620675,0.05298655934262062,0.05274394683394563,0.052938036898728946,0.052695424390053945,0.05279246927783731,0.04852249016633698,0.05250133432527063,0.05284099172172899,0.05303508178651231,0.052646901946162256,0.053180649118187366,0.05284099172172899,0.05298655934262062,0.052889514165620675,0.05274394683394563,0.05298655934262062,0.05284099172172899
government,0.05282153826814981,0.052870311571912514,0.052919085166387034,0.05306540507767513,0.053016631773912436,0.05282153826814981,0.05277276496438711,0.05277276496438711,0.048773350276591985,0.05277276496438711,0.05282153826814981,0.05272399166062441,0.052870311571912514,0.05272399166062441,0.052919085166387034,0.052870311571912514,0.05277276496438711,0.05282153826814981,0.052870311571912514
hobbies,0.05288461532616767,0.05278749032164804,0.052981740620142645,0.05283605282390786,0.052981740620142645,0.05288461532616767,0.05278749032164804,0.05288461532616767,0.052544677520893625,0.04856254857266938,0.053078865624662276,0.052641802525413256,0.05283605282390786,0.05278749032164804,0.05288461532616767,0.05288461532616767,0.05283605282390786,0.05288461532616767,0.05303030312240246
kids,0.0529659990095811,0.05277198425741331,0.05301450262534696,0.05277198425741331,0.0529659990095811,0.05277198425741331,0.05272348064164744,0.05301450262534696,0.05252946588947965,0.05301450262534696,0.04850366202255667,0.05257796950524551,0.05301450262534696,0.05286899148894503,0.05291749539381524,0.05301450262534696,0.05272348064164744,0.0529659990095811,0.05286899148894503
life_style,0.052874793310645,0.05331257896006302,0.05292343612836544,0.05268022174982918,0.05268022174982918,0.05268022174982918,0.05321529332462214,0.052777507675204116,0.052582936114388294,0.05272886456754962,0.05272886456754962,0.048642864109889855,0.052874793310645,0.052631578932108736,0.05292343612836544,0.05292343612836544,0.053118007689181256,0.05292343612836544,0.052777507675204116
movie,0.05292262928686791,0.05287412067629765,0.05301964592974361,0.05272859571198409,0.05287412067629765,0.05277710403342195,0.05277710403342195,0.05316517089405717,0.052583070458538134,0.05277710403342195,0.05301964592974361,0.05272859571198409,0.04850836769903726,0.05287412067629765,0.05297113760830576,0.05297113760830576,0.05268008739054624,0.05292262928686791,0.052825612354859795
music,0.052910567548242346,0.052764674578264455,0.05300782952822761,0.052716043298408254,0.05300782952822761,0.052764674578264455,0.05261878131842299,0.052959198538234976,0.05257015032843037,0.05286193655824971,0.05300782952822761,0.05261878131842299,0.05300782952822761,0.04863103637080095,0.052959198538234976,0.05300782952822761,0.052716043298408254,0.052959198538234976,0.052910567548242346
news,0.052922629286867896,0.052874120676297647,0.052922629286867896,0.05277710403342194,0.052874120676297647,0.05277710403342194,0.05282561235485979,0.05297113760830575,0.052631579069108377,0.05282561235485979,0.052922629286867896,0.05277710403342194,0.05297113760830575,0.05282561235485979,0.04850836769903725,0.052874120676297647,0.05282561235485979,0.053019645929743606,0.052874120676297647
pet,0.052989130535384565,0.052940605736923003,0.053037655333846134,0.052697981455384575,0.05289208064923083,0.05260093156923083,0.05274650625384614,0.05289208064923083,0.05260093156923083,0.05284355585076927,0.053037655333846134,0.0527950310523077,0.052989130535384565,0.05289208064923083,0.05289208064923083,0.04852484473846154,0.0527950310523077,0.052940605736923003,0.05289208064923083
sports_health,0.05285401990343374,0.05309691527350718,0.05290259891953768,0.052756861871225885,0.05280544088732981,0.052756861871225885,0.05319407330571504,0.05280544088732981,0.052562545517256386,0.05285401990343374,0.05280544088732981,0.053048336257403246,0.052756861871225885,0.05265970354946424,0.05290259891953768,0.05285401990343374,0.048579062432534965,0.0529511779356416,0.05285401990343374
tech,0.05291749537851656,0.05291749537851656,0.052965998994268404,0.052820487857908535,0.05291749537851656,0.05272348062640486,0.052820487857908535,0.052965998994268404,0.052529465874293156,0.052820487857908535,0.052965998994268404,0.0527719842421567,0.05291749537851656,0.052820487857908535,0.05301450261002024,0.05291749537851656,0.05286899147366038,0.04850366200853405,0.052820487857908535
travel,0.052904916681932354,0.05285638010730521,0.052953453545860306,0.05285638010730521,0.053050526695114605,0.05285638010730521,0.052807843532678055,0.05285638010730521,0.05261369694486866,0.05300199012048746,0.052904916681932354,0.05266223380879661,0.05285638010730521,0.052807843532678055,0.052904916681932354,0.052904916681932354,0.052807843532678055,0.05285638010730521,0.04853662091527768
